comment_id,text,severity_id,target_id,has_pii,link_flagged,annotator,split,notes,post_text,parent_text,is_reply,created_time,source_page_id
dom__56,អូនខ្ញុំរស់នៅភ្នំពេញគាត់បានបាត់ខ្លួនថ្ងៃទី 16 ខែ 9 ដល់ថ្ងៃទេ5 ខែ 10 រកគាត់អត់ទាន់ឃើញទេបងចង់ឱ្យប្អូនចុះព័ត៌មានឲ្យខ្ញុំបន្តិចបានទេ,,,,,,,,,,False,,
dom__57,មាត់រហ័សផ្សាយរហ័សដល់ផ្ទះរហ័សបាត់,,,,,,,,,,False,,
dom__58,សើចមួយ,,,,,,,,,,False,,
dom__59,គាត់ណាត់ជួបស្រីក្រៅដឹងបង,,,,,,,,,,False,,
dom_happy_60,ចុងបញ្ចប់ happy ending,,,,,,,,,,False,,
dom__61,ខំតែភ័យ,,,,,,,,,,False,,
dom__62,បងឯងប្រេនតើអី,,,,,,,,,,False,,
dom__63,ថ្មីរហូត មើលដល់ចប់ បានភ័យផងសើចផងទាំងព្រឹក,,,,,,,,,,False,,
dom__64,រវល់នៅផ្ទះស្រីដឹង,,,,,,,,,,False,,
dom__65,មកពីបែក,,,,,,,,,,False,,
dom__66,មានស្រីហើយ,,,,,,,,,,False,,
dom__67,ទៅមើលនៅក្នាលថ្នល់មើ,,,,,,,,,,False,,
dom__68,សាំចុយម្រាយហើយ,,,,,,,,,,False,,
dom__69,ងាប់ព្រោះពាក្យត្រង់របស់ប្រពន្ធ យូឆ្នាំហើយលើកនិយាយចេញ,,,,,,,,,,False,,
dom__70,គាត់កំពុងសន្លប់ អត់ទាន់ស្វាងទេ បង ជូនពរ គាត់មានសុវត្ថភាព,,,,,,,,,,False,,
dom__71,ចុមគាត់ទើបដឹកអោយខ្ញុំកាលថ្ងៃសោរ៍,,,,,,,,,,False,,
dom__72,ទៅរកទូត្រីទៅឃើញហើយ,,,,,,,,,,False,,
dom__73,ត្រីអរផង មកដល់ផ្ទះវិញ,,,,,,,,,,False,,
dom__74,យីសគេផ្អើលពេញប្រទេស,,,,,,,,,,False,,
dom__75,អាស្រួច,,,,,,,,,,False,,
dom__76,មើលមុខប្រពន្ធដូចអត់ភ័យសោះពេលបាត់ប្ដី,,,,,,,,,,False,,
dom_99_77,99% មានគេប្លន់។,,,,,,,,,,False,,
dom__78,ជួបស្រីសោះ,,,,,,,,,,False,,
dom__79,គាំង ម៉ង,,,,,,,,,,False,,
dom__80,ទៅរកអគ្គក្បាលថ្នល់ទៅនៅក៏6ឃើងហើយ,,,,,,,,,,False,,
dom__81,ឪ,,,,,,,,,,False,,
dom__82,ចឹង បានគេ ថា គាំង ចុងក្រោយ គាំង មែន,,,,,,,,,,False,,
dom__83,ស្រុកខ្មែរតាប៉ែតែសប្បាយ,,,,,,,,,,False,,
dom__84,ទំនាក់ទំនងសមត្ថកិច្ចឲ្យគាត់ជួយទំនាក់ទំនងទៅ,,,,,,,,,,False,,
dom__85,ខំស្ដាប់ ចុងក្រោយ គាំង,,,,,,,,,,False,,
dom__86,ក្មេកយើងខ្ញុំខ្លាចដែលសំបូរការចាក់,,,,,,,,,,False,,
dom__87,អានឹងមានស្រីហ្មង,,,,,,,,,,False,,
dom__88,ការផ្សព្វផ្សាយពាណិជ្ជកម្មដោយអត់អស់លុយ ប៉ិនសម្ដែងមែន,,,,,,,,,,False,,
dom__89,ទៅមើលគាត់នៅអគ្គទៅបងស្រួច,,,,,,,,,,False,,
dom__90,ទៅគេដឹងអសហើយ,,,,,,,,,,False,,
dom__91,ឆ្លន,,,,,,,,,,False,,
